contrast_id,contrast_var,biosample_id_col,control_grp,experimental_grp,strata,covariates,latent_corr_vars,filter_col_1,filter_val_1,filter_col_2,filter_val_2,filter_col_3,filter_val_3
Gender,Gender,sample_accession,Male,Female,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|BMI|Ethnicities|chemistry,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,treatment,no_treatment,,
Age,Age (years),sample_accession,,,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Gender|BMI|Ethnicities|chemistry,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,treatment,no_treatment,,
BMI,BMI,sample_accession,,,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|Ethnicities|chemistry,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,treatment,no_treatment,,
Prediabetis_vs_ND,Derived diabetes status,sample_accession,Normal,Prediabetes,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status|Age (years)|Gender|BMI|Ethnicities|chemistry,treatment,no_treatment,,,,
Diabetes_vs_ND,Derived diabetes status,sample_accession,Normal,Diabetes,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status|Age (years)|Gender|BMI|Ethnicities|chemistry,treatment,no_treatment,,,,
Prediabetis_vs_Diabetis,Derived diabetes status,sample_accession,Prediabetes,Diabetes,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status|Age (years)|Gender|BMI|Ethnicities|chemistry,Derived diabetes status,Diabetes|Prediabetes,treatment,no_treatment,,
ND_vs_T1D,Description of diabetes status,sample_accession,Control Without Diabetes,Type 1 Diabetes,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status|Age (years)|Gender|BMI|Ethnicities|chemistry,treatment,no_treatment,,,,
ND_vs_T2D,Description of diabetes status,sample_accession,Control Without Diabetes,Type 2 Diabetes,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes|Type 2 Diabetes,treatment,no_treatment,,
T1D_vs_T2D,Description of diabetes status,sample_accession,Type 1 Diabetes,Type 2 Diabetes,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Type 1 Diabetes|Type 2 Diabetes,treatment,no_treatment,,
AAB_GADA_Pos_Neg,AAB GADA POSITIVE,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,AAB GADA POSITIVE|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,AAB GADA POSITIVE,FALSE|TRUE,treatment,no_treatment
AAB_IA2_Pos_Neg,AAB IA2 POSITIVE,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,AAB IA2 POSITIVE|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,AAB IA2 POSITIVE,FALSE|TRUE,treatment,no_treatment
AAB_IAA_Pos_Neg,AAB IAA POSITIVE,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,AAB IAA POSITIVE|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,AAB IAA POSITIVE,FALSE|TRUE,treatment,no_treatment
AAB_ZNT8_Pos_Neg,AAB ZNT8 POSITIVE,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,AAB ZNT8 POSITIVE|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,AAB ZNT8 POSITIVE,FALSE|TRUE,treatment,no_treatment
AAB_GADA,Only AAB GADA,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Only AAB GADA|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,Only AAB GADA,FALSE|TRUE,treatment,no_treatment
AAB_IA2,Only AAB IA2,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Only AAB IA2|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,Only AAB IA2,FALSE|TRUE,treatment,no_treatment
AAB_IAA,Only AAB IAA,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Only AAB IAA|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,Only AAB IAA,FALSE|TRUE,treatment,no_treatment
AAB_ZNT8,Only AAB ZNT8,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Only AAB ZNT8|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,Only AAB ZNT8,FALSE|TRUE,treatment,no_treatment
Multi_AAB,Multi AAB,sample_accession,FALSE,TRUE,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Number AAB|Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,Multi AAB,FALSE|TRUE,treatment,no_treatment
C_peptide,C-Peptide (ng/ml),sample_accession,,,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,treatment,no_treatment,,
HbA1c,HbA1C (percentage),sample_accession,,,Beta|Alpha|Gamma_Epsilon|Delta|Ductal|ActiveStellate|Acinar|Endothelial|Immune|QuiescentStellate|CyclingAlpha,Age (years)|Gender|BMI|Ethnicities|chemistry,Age (years)|Gender|BMI|Ethnicities|chemistry,Description of diabetes status,Control Without Diabetes,treatment,no_treatment,,